ID,Name,Age,Height,Weight,Shot Power,Skill,Mentality,Dribbling,Sprint Speed,Acceleration,Agility,Stamina,Balance,ST
670,Zulu,26,193.04,89.79,56,269,261,61,76,72,68.0,71,78.0,66
1198,F. Inzaghi,37,180.34,73.92,55,237,288,50,39,67,53.0,31,65.0,73
2231,E. Heskey,37,185.42,92.97,77,265,329,63,45,42,50.0,33,46.0,66
2702,K. Ellison,41,180.34,76.19,69,296,311,64,42,45,60.0,49,67.0,58
3467,Yuri,37,185.42,78.0,69,318,296,70,67,64,68.0,65,56.0,71
5419,M. Owen,32,172.72,69.84,76,338,310,77,54,69,79.0,34,81.0,74
5459,M. Bagayoko,32,190.5,79.82,74,334,309,72,67,74,56.0,64,54.0,71
5809,N. Anelka,34,185.42,79.82,81,349,313,80,66,59,72.0,69,60.0,77
5879,A. Gilardino,34,182.88,78.91,71,298,280,64,55,62,69.0,54,60.0,72
5984,D. Trezeguet,35,190.5,79.82,77,299,321,62,40,38,58.0,44,49.0,74
7512,H. Crespo,35,182.88,81.18,75,273,310,56,40,54,60.0,30,62.0,76
9676,S. Eto'o,36,177.8,74.83,85,379,357,80,74,73,74.0,64,75.0,81
10264,R. van Nistelrooy,34,187.96,79.82,83,348,351,70,52,46,54.0,47,50.0,77
10899,C. Porter,36,185.42,82.99,64,262,270,54,49,47,61.0,67,66.0,63
11125,G. Asamoah,33,180.34,84.8,74,286,326,63,52,47,59.0,59,66.0,66
11141,M. Klose,37,182.88,83.9,76,301,300,68,69,69,64.0,53,61.0,79
14916,J. Ángel,38,185.42,82.08,66,306,329,65,47,46,45.0,31,48.0,68
15723,D. Kuyt,35,182.88,83.9,80,328,381,69,68,63,65.0,83,61.0,75
19521,J. Ibehre,36,193.04,92.06,56,227,267,56,62,57,46.0,75,48.0,58
20172,G. Holt,34,182.88,78.91,78,268,350,61,38,34,43.0,59,65.0,67
20176,Hélder Postiga,32,180.34,76.19,77,312,329,71,72,70,76.0,78,66.0,74
20801,Cristiano Ronaldo,35,187.96,82.99,94,414,353,88,91,87,87.0,84,71.0,92
20882,A. Frei,32,180.34,73.92,79,386,358,71,69,67,71.0,71,73.0,77
23015,L. Toni,38,193.04,87.98,77,265,286,58,34,34,34.0,34,34.0,76
25420,C. Pizarro,40,182.88,83.9,75,368,341,76,34,35,65.0,34,54.0,74
25798,R. Santa Cruz,38,187.96,79.82,77,307,309,63,35,31,30.0,30,28.0,73
30110,D. Berbatov,34,187.96,74.83,82,388,320,81,60,54,69.0,52,52.0,80
31432,D. Drogba,38,187.96,79.82,85,376,363,74,64,64,63.0,62,56.0,81
41233,S. Ameobi,35,190.5,94.78,69,248,292,61,38,36,50.0,60,49.0,64
41236,Z. Ibrahimović,38,195.58,94.78,90,397,368,80,52,53,71.0,54,39.0,83
46175,M. Rosenberg,36,182.88,81.18,74,338,344,66,63,65,68.0,68,63.0,72
49012,K. Kurányi,33,190.5,87.98,80,292,322,67,65,62,59.0,67,47.0,74
49045,K. Boyd,34,185.42,82.99,80,300,285,55,44,34,60.0,46,59.0,70
49369,Fernando Torres,34,185.42,78.91,81,351,308,80,70,70,70.0,54,44.0,77
49674,Igor de Camargo,37,187.96,84.8,73,311,345,67,38,40,48.0,70,55.0,70
50542,J. Defoe,37,170.18,64.85,79,320,298,72,62,67,77.0,52,87.0,73
50598,D. Bent,33,180.34,73.01,75,285,265,61,65,68,73.0,45,65.0,70
51257,P. Crouch,37,200.66,74.83,75,310,323,62,32,31,46.0,31,25.0,72
51412,T. Cahill,37,177.8,63.94,74,312,345,65,57,64,66.0,54,80.0,70
51887,A. Le Tallec,34,185.42,73.01,70,326,276,59,51,54,50.0,64,59.0,65
53009,B. Lauth,31,177.8,74.83,67,322,302,64,74,74,71.0,64,73.0,69
53050,E. Adebayor,35,193.04,82.08,76,301,329,67,62,64,64.0,51,57.0,74
53655,J. Bothroyd,38,190.5,88.89,72,313,279,63,30,29,31.0,31,31.0,65
105827,P. Brożek,36,180.34,78.91,65,277,298,62,38,37,66.0,31,79.0,66
106019,Adriano,31,187.96,87.98,90,341,293,74,40,41,31.0,30,30.0,73
106231,Aduriz,38,182.88,78.0,82,321,351,74,60,58,56.0,50,53.0,81
111016,Mista,31,182.88,73.92,70,328,306,71,68,70,69.0,71,73.0,68
113524,Nino,40,170.18,68.03,66,319,328,69,53,61,73.0,32,80.0,70
116197,R. Fuller,35,190.5,78.0,73,296,320,70,63,67,42.0,51,57.0,68
121170,A. Meier,36,195.58,96.14,80,331,324,61,34,32,42.0,42,31.0,70
122066,R. König,37,190.5,92.97,70,239,281,38,30,30,35.0,51,38.0,63
122849,A. Koné,36,180.34,78.0,78,303,291,68,65,65,64.0,58,60.0,71
123576,M. Borriello,35,185.42,84.8,80,327,303,69,64,56,66.0,55,60.0,77
124375,B. Yılmaz,34,187.96,77.09,85,333,347,69,79,81,72.0,67,48.0,78
125995,U. Bulut,37,182.88,74.83,75,272,306,61,54,43,34.0,66,42.0,68
134779,J. Briand,34,182.88,84.8,77,346,338,75,65,60,66.0,68,66.0,75
134906,M. Chamakh,32,185.42,69.84,80,351,339,66,65,61,60.0,62,61.0,71
135567,Nilmar,26,180.34,73.92,77,356,298,87,93,90,86.0,68,70.0,83
136194,Luís Fabiano,34,185.42,84.8,79,339,337,74,61,61,64.0,52,56.0,77
136553,Lee Dong Gook,41,185.42,79.82,75,322,305,54,32,33,33.0,32,63.0,69
137262,S. Kießling,33,190.5,81.18,78,298,352,65,53,55,39.0,64,44.0,75
137361,G. Pazzini,35,180.34,77.09,65,280,313,65,51,52,68.0,41,80.0,69
137494,O. Martins,35,170.18,69.84,77,327,299,75,82,89,82.0,77,88.0,75
137551,G. Samaras,31,193.04,86.17,68,312,309,71,67,66,68.0,74,53.0,69
137671,P. Odemwingie,34,182.88,73.92,74,345,292,73,68,69,65.0,52,66.0,69
137809,Vágner Love,34,170.18,72.11,80,297,346,75,71,75,77.0,68,80.0,76
138436,J. Walters,34,182.88,78.91,74,323,350,69,53,56,65.0,52,67.0,71
138806,M. López,36,185.42,81.18,73,311,294,69,50,45,54.0,39,52.0,68
138984,Hugo Almeida,33,190.5,93.87,85,291,314,58,57,48,32.0,61,31.0,71
138993,S. Abreu,37,193.04,84.8,75,306,338,61,33,33,34.0,34,36.0,68
139296,D. Nugent,35,180.34,76.19,69,294,284,66,51,53,74.0,50,64.0,66
